,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4423431,1256172,15109,76760,111504,37781,13777,7741,13599,1617663,92798,40071,610232,185840,37313,140112,121600
Total_people_one_dose,2690268,765927,8765,47950,64563,22183,8406,4406,8149,1007786,60549,24472,373978,115251,23771,84557,77516
Total_people_complete,1874832,,,,,,,,,,,,,,,,
Total_doses_ordered,3967370,,,,,,,,,,,,,,,,
65 years and older,559490,,,,,,,,,,,,,,,,
55-64 years,273457,,,,,,,,,,,,,,,,
45-54 years,191915,,,,,,,,,,,,,,,,
20-44 years,399806,,,,,,,,,,,,,,,,
Less than 20 years,40143,,,,,,,,,,,,,,,,
65 years and older,8149,,,,,,,,,,,,,,,,
55-64 years,224772,,,,,,,,,,,,,,,,
45-54 years,162913,,,,,,,,,,,,,,,,
20-44 years,345226,,,,,,,,,,,,,,,,
Less than 20 years,33960,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",57565,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",64851,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",95370,,,,,,,,,,,,,,,,
Hispanic or Latino,326336,,,,,,,,,,,,,,,,
Unknown,374950,,,,,,,,,,,,,,,,
Other Race,465592,,,,,,,,,,,,,,,,
"White, non-Hispanic",1305604,,,,,,,,,,,,,,,,
