Category,Yavapai
Total_doses_administered,258234
Total_people_one_dose,120453
Total_people_complete,100834
total_pouluation,120453
Male-65 years and older,26565
Male-55-64 years,9389
Male-45-54 years,5180
Male-20-44 years,10604
Male-Less than 20 years,3099
Female-65 years and older,32266
Female-55-64 years,11821
Female-45-54 years,6157
Female-20-44 years,10838
Female-Less than 20 years,3389
"Black or African American, non-Hispanic",599
"American Indian or Alaska Native, non-Hispanic",1472
"Asian or Pacific Islander, non-Hispanic",1501
Hispanic or Latino,8520
Other Race,17692
Unknown,18490
"White, non-Hispanic",72179
