Category,Santa Cruz
Total_doses_administered,118014
Total_people_one_dose,59668
Total_people_complete,45431
total_pouluation,59668
Male-65 years and older,4889
Male-55-64 years,3433
Male-45-54 years,3579
Male-20-44 years,9453
Male-Less than 20 years,7200
Female-65 years and older,5911
Female-55-64 years,3798
Female-45-54 years,3919
Female-20-44 years,9925
Female-Less than 20 years,7473
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",190
Other Race,3619
Unknown,4468
"White, non-Hispanic",7849
Hispanic or Latino,43424
