Category,Maricopa
Total_doses_administered,5884758
Total_people_one_dose,2726516
Total_people_complete,2340427
total_pouluation,2726516
Male-65 years and older,292040
Male-55-64 years,192656
Male-45-54 years,187149
Male-20-44 years,450720
Male-Less than 20 years,160434
Female-65 years and older,364817
Female-55-64 years,216473
Female-45-54 years,202573
Female-20-44 years,482248
Female-Less than 20 years,163040
"American Indian or Alaska Native, non-Hispanic",53494
"Black or African American, non-Hispanic",106948
"Asian or Pacific Islander, non-Hispanic",138856
Unknown,183636
Other Race,435874
Hispanic or Latino,467070
"White, non-Hispanic",1340638
