Category,Navajo
Total_doses_administered,105316
Total_people_one_dose,50925
Total_people_complete,41406
total_pouluation,50925
Male-65 years and older,7529
Male-55-64 years,3659
Male-45-54 years,2799
Male-20-44 years,6062
Male-Less than 20 years,4655
Female-65 years and older,8463
Female-55-64 years,4188
Female-45-54 years,2808
Female-20-44 years,5951
Female-Less than 20 years,4773
"Black or African American, non-Hispanic",213
"Asian or Pacific Islander, non-Hispanic",376
Unknown,2461
Hispanic or Latino,2643
Other Race,6412
"White, non-Hispanic",16419
"American Indian or Alaska Native, non-Hispanic",22401
