Category,Mohave
Total_doses_administered,194066
Total_people_one_dose,92867
Total_people_complete,77804
total_pouluation,92867
Male-65 years and older,21518
Male-55-64 years,8468
Male-45-54 years,4408
Male-20-44 years,7823
Male-Less than 20 years,1962
Female-65 years and older,23594
Female-55-64 years,9785
Female-45-54 years,4956
Female-20-44 years,8014
Female-Less than 20 years,2159
"Black or African American, non-Hispanic",648
"American Indian or Alaska Native, non-Hispanic",776
"Asian or Pacific Islander, non-Hispanic",1423
Hispanic or Latino,7587
Unknown,11692
Other Race,14682
"White, non-Hispanic",56059
