Category,Mohave
Total_doses_administered,166939
Total_people_one_dose,86208
Total_people_complete,74184
total_pouluation,86208
Male-65 years and older,19970
Male-55-64 years,7924
Male-45-54 years,4111
Male-20-44 years,7136
Male-Less than 20 years,1565
Female-65 years and older,22350
Female-55-64 years,9284
Female-45-54 years,4656
Female-20-44 years,7252
Female-Less than 20 years,1786
"Black or African American, non-Hispanic",574
"American Indian or Alaska Native, non-Hispanic",678
"Asian or Pacific Islander, non-Hispanic",1274
Hispanic or Latino,6680
Unknown,11275
Other Race,13937
"White, non-Hispanic",51790
