Category,Pinal
Total_doses_administered,469974
Total_people_one_dose,240461
Total_people_complete,214431
total_pouluation,240461
Male-65 years and older,35652
Male-55-64 years,17830
Male-45-54 years,16323
Male-20-44 years,36795
Male-Less than 20 years,10641
Female-65 years and older,41209
Female-55-64 years,20140
Female-45-54 years,16607
Female-20-44 years,33947
Female-Less than 20 years,10571
"Asian or Pacific Islander, non-Hispanic",4860
"Black or African American, non-Hispanic",8703
"American Indian or Alaska Native, non-Hispanic",8793
Unknown,28663
Other Race,30053
Hispanic or Latino,38323
"White, non-Hispanic",121066
