Category,Arizona
Total_doses_administered,8708062
Total_people_complete,405346
total_pouluation,7189020
Total_people_one_dose,4396370
Male-65 years and older,545730
Male-55-64 years,316974
Male-45-54 years,286335
Male-20-44 years,706573
Male-Less than 20 years,218423
Female-65 years and older,666917
Female-55-64 years,361547
Female-45-54 years,309435
Female-20-44 years,738104
Female-Less than 20 years,226635
"Black or African American, non-Hispanic",132214
"Asian or Pacific Islander, non-Hispanic",166226
"American Indian or Alaska Native, non-Hispanic",177936
Unknown,401806
Other Race,642480
Hispanic or Latino,793371
"White, non-Hispanic",2082337
