Category,Gila
Total_doses_administered,50909
Total_people_one_dose,25229
Total_people_complete,22520
total_pouluation,25229
Male-65 years and older,5669
Male-55-64 years,2192
Male-45-54 years,1226
Male-20-44 years,2323
Male-Less than 20 years,626
Female-65 years and older,6088
Female-55-64 years,2547
Female-45-54 years,1370
Female-20-44 years,2446
Female-Less than 20 years,684
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",198
Hispanic or Latino,1360
"American Indian or Alaska Native, non-Hispanic",2549
Other Race,3955
Unknown,4548
"White, non-Hispanic",12532
