Category,Greenlee
Total_doses_administered,8376
Total_people_one_dose,4154
Total_people_complete,3666
total_pouluation,4154
Male-65 years and older,503
Male-55-64 years,370
Male-45-54 years,317
Male-20-44 years,763
Male-Less than 20 years,163
Female-65 years and older,506
Female-55-64 years,315
Female-45-54 years,319
Female-20-44 years,732
Female-Less than 20 years,164
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",44
Other Race,82
"American Indian or Alaska Native, non-Hispanic",111
Unknown,285
"White, non-Hispanic",1727
Hispanic or Latino,1863
