Category,Graham
Total_doses_administered,39917
Total_people_one_dose,20096
Total_people_complete,18080
total_pouluation,20096
Male-65 years and older,2352
Male-55-64 years,1550
Male-45-54 years,1405
Male-20-44 years,3459
Male-Less than 20 years,933
Female-65 years and older,2842
Female-55-64 years,1694
Female-45-54 years,1370
Female-20-44 years,3453
Female-Less than 20 years,1026
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",86
Other Race,1267
Hispanic or Latino,3542
Unknown,3927
"American Indian or Alaska Native, non-Hispanic",4960
"White, non-Hispanic",6234
