Category,Navajo
Total_doses_administered,89001
Total_people_one_dose,45939
Total_people_complete,38797
total_pouluation,45939
Male-65 years and older,7065
Male-55-64 years,3429
Male-45-54 years,2539
Male-20-44 years,5454
Male-Less than 20 years,3787
Female-65 years and older,7952
Female-55-64 years,3944
Female-45-54 years,2549
Female-20-44 years,5298
Female-Less than 20 years,3887
"Black or African American, non-Hispanic",193
"Asian or Pacific Islander, non-Hispanic",332
Unknown,2042
Hispanic or Latino,2330
Other Race,6098
"White, non-Hispanic",15514
"American Indian or Alaska Native, non-Hispanic",19430
