Category,Yavapai
Total_doses_administered,221580
Total_people_one_dose,112748
Total_people_complete,95981
total_pouluation,112748
Male-65 years and older,24938
Male-55-64 years,8872
Male-45-54 years,4859
Male-20-44 years,9791
Male-Less than 20 years,2534
Female-65 years and older,30732
Female-55-64 years,11286
Female-45-54 years,5792
Female-20-44 years,9955
Female-Less than 20 years,2841
"Black or African American, non-Hispanic",519
"Asian or Pacific Islander, non-Hispanic",1334
"American Indian or Alaska Native, non-Hispanic",1359
Hispanic or Latino,7587
Other Race,16573
Unknown,19564
"White, non-Hispanic",65812
