Category,Santa Cruz
Total_doses_administered,95112
Total_people_one_dose,49631
Total_people_complete,43111
total_pouluation,49631
Male-65 years and older,4488
Male-55-64 years,3106
Male-45-54 years,3250
Male-20-44 years,8691
Male-Less than 20 years,4278
Female-65 years and older,5405
Female-55-64 years,3363
Female-45-54 years,3498
Female-20-44 years,8809
Female-Less than 20 years,4667
"Black or African American, non-Hispanic",51
"American Indian or Alaska Native, non-Hispanic",53
"Asian or Pacific Islander, non-Hispanic",180
Unknown,2883
Other Race,3369
"White, non-Hispanic",7145
Hispanic or Latino,35950
