Category,Apache
Total_doses_administered,42798
Total_people_one_dose,23609
Total_people_complete,17037
total_pouluation,23609
Male-65 years and older,2387
Male-55-64 years,1646
Male-45-54 years,1264
Male-20-44 years,2963
Male-Less than 20 years,3278
Female-65 years and older,2839
Female-55-64 years,1779
Female-45-54 years,1291
Female-20-44 years,2784
Female-Less than 20 years,3370
"Black or African American, non-Hispanic",46
"Asian or Pacific Islander, non-Hispanic",106
Hispanic or Latino,512
Other Race,1027
Unknown,1067
"White, non-Hispanic",3482
"American Indian or Alaska Native, non-Hispanic",17369
