Category,La Paz
Total_doses_administered,16234
Total_people_one_dose,8402
Total_people_complete,7336
total_pouluation,8402
Male-65 years and older,2301
Male-55-64 years,589
Male-45-54 years,311
Male-20-44 years,638
Male-Less than 20 years,290
Female-65 years and older,2343
Female-55-64 years,697
Female-45-54 years,357
Female-20-44 years,563
Female-Less than 20 years,296
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",86
"American Indian or Alaska Native, non-Hispanic",444
Other Race,1114
Hispanic or Latino,1240
Unknown,1729
"White, non-Hispanic",3753
