Category,Greenlee
Total_doses_administered,8263
Total_people_one_dose,4672
Total_people_complete,4171
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,539
Male-55-64 years,583
Male-45-54 years,482
Male-20-44 years,983
Male-Less than 20 years,43
Female-65 years and older,516
Female-55-64 years,404
Female-45-54 years,360
Female-20-44 years,717
Female-Less than 20 years,43
"Black or African American, non-Hispanic",0.0092037671232877
"Asian or Pacific Islander, non-Hispanic",0.0102739726027397
"American Indian or Alaska Native, non-Hispanic",0.0177654109589041
Other Race,0.0269691780821918
Unknown,0.0787671232876712
"White, non-Hispanic",0.414597602739726
Hispanic or Latino,0.4424229452054795
