,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4083990,1160875,14238,69702,106699,36499,13130,7492,12453,1499958,83628,37824,556752,172699,33248,130866,110727
Total_people_one_dose,2555529,736733,8287,45113,62903,21686,8070,4272,7989,944409,55434,23718,355715,107243,22262,81379,72971
Total_people_complete,1686236,,,,,,,,,,,,,,,,
Total_doses_ordered,3629070,,,,,,,,,,,,,,,,
65 years and older,547774,,,,,,,,,,,,,,,,
55-64 years,265483,,,,,,,,,,,,,,,,
45-54 years,180208,,,,,,,,,,,,,,,,
20-44 years,373988,,,,,,,,,,,,,,,,
Less than 20 years,36178,,,,,,,,,,,,,,,,
65 years and older,355715,,,,,,,,,,,,,,,,
55-64 years,216306,,,,,,,,,,,,,,,,
45-54 years,149286,,,,,,,,,,,,,,,,
20-44 years,311481,,,,,,,,,,,,,,,,
Less than 20 years,30044,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",53621,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",62298,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",89559,,,,,,,,,,,,,,,,
Hispanic or Latino,297611,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",348158,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",449553,,,,,,,,,,,,,,,,
"White, non-Hispanic",1254783,,,,,,,,,,,,,,,,
