,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3219951,865295,12829,54547,90461,31925,10981,6764,10616,1194886,63902,32380,447658,137386,25821,111018,86854
Total_people_one_dose,2040800,569985,7628,36218,54190,20050,6830,3847,6702,750596,43601,20819,288667,88706,16965,67044,58952
Total_people_complete,1261451,,,,,,,,,,,,,,,,
Total_doses_ordered,2819270,,,,,,,,,,,,,,,,
65 years and older,514397,,,,,,,,,,,,,,,,
55-64 years,228188,,,,,,,,,,,,,,,,
45-54 years,126979,,,,,,,,,,,,,,,,
20-44 years,260417,,,,,,,,,,,,,,,,
Less than 20 years,15156,,,,,,,,,,,,,,,,
65 years and older,750596,,,,,,,,,,,,,,,,
55-64 years,181571,,,,,,,,,,,,,,,,
45-54 years,95114,,,,,,,,,,,,,,,,
20-44 years,189386,,,,,,,,,,,,,,,,
Less than 20 years,11176,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",38491,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",54943,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",61330,,,,,,,,,,,,,,,,
Hispanic or Latino,202976,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",299724,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",374526,,,,,,,,,,,,,,,,
"White, non-Hispanic",1011074,,,,,,,,,,,,,,,,
