Category,Coconino
Total_doses_administered,90461
Total_people_one_dose,54190
Total_people_complete,36917
Total_doses_ordered,66850
total_pouluation,147275
Male-65 years and older,6143
Male-55-64 years,4288
Male-45-54 years,3611
Male-20-44 years,9553
Male-Less than 20 years,871
Female-65 years and older,7112
Female-55-64 years,5208
Female-45-54 years,4076
Female-20-44 years,12143
Female-Less than 20 years,1319
"Black or African American, non-Hispanic",0.0050726776359478
"Asian or Pacific Islander, non-Hispanic",0.011104552497602
Hispanic or Latino,0.0494724415258614
"Other Race, non-Hispanic",0.1136095329447355
"American Indian or Alaska Native, non-Hispanic",0.1969490149782336
"Unknown, non-Hispanic",0.2502951376079097
"White, non-Hispanic",0.37349664280971
