,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2497968,637177,11348,42079,71554,23116,8426,6220,8411,940482,47321,26221,354433,109201,19642,93018,65252
Total_people_one_dose,1577259,414585,6752,27716,45698,15203,5179,3614,5309,602993,32053,17340,221295,70717,11414,55336,42055
Total_people_complete,957617,,,,,,,,,,,,,,,,
Total_doses_ordered,2287600,,,,,,,,,,,,,,,,
65 years and older,455483,,,,,,,,,,,,,,,,
55-64 years,153102,,,,,,,,,,,,,,,,
45-54 years,93191,,,,,,,,,,,,,,,,
20-44 years,195207,,,,,,,,,,,,,,,,
Less than 20 years,7824,,,,,,,,,,,,,,,,
65 years and older,602993,,,,,,,,,,,,,,,,
55-64 years,111034,,,,,,,,,,,,,,,,
45-54 years,62111,,,,,,,,,,,,,,,,
20-44 years,123712,,,,,,,,,,,,,,,,
Less than 20 years,5118,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3735,,,,,,,,,,,,,,,,
Black or African American,26410,,,,,,,,,,,,,,,,
Asian,37139,,,,,,,,,,,,,,,,
American Indian or Alaska Native,44879,,,,,,,,,,,,,,,,
Hispanic or Latino,137157,,,,,,,,,,,,,,,,
Other Race/Unknown,550902,,,,,,,,,,,,,,,,
White,777894,,,,,,,,,,,,,,,,
