Category,Santa Cruz
Total_doses_administered,70676
Total_people_one_dose,39703
Total_people_complete,35402
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3618
Male-55-64 years,2641
Male-45-54 years,3086
Male-20-44 years,7854
Male-Less than 20 years,2586
Female-65 years and older,4389
Female-55-64 years,2682
Female-45-54 years,2932
Female-20-44 years,7246
Female-Less than 20 years,2600
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2041
Unknown,2346
"White, non-Hispanic",4841
Hispanic or Latino,30324
