Category,Arizona
Total_doses_administered,7269137
Total_people_complete,3508536
Total_doses_ordered,5297970
total_pouluation,7189020
Total_people_one_dose,3997452
Male-65 years and older,521135
Male-55-64 years,300764
Male-45-54 years,262670
Male-20-44 years,623030
Male-Less than 20 years,164076
Female-65 years and older,642511
Female-55-64 years,346021
Female-45-54 years,287673
Female-20-44 years,657697
Female-Less than 20 years,172387
"Black or African American, non-Hispanic",109327
"American Indian or Alaska Native, non-Hispanic",118225
"Asian or Pacific Islander, non-Hispanic",149966
Unknown,430253
Other Race,673490
Hispanic or Latino,676750
"White, non-Hispanic",1839441
