Category,Cochise
Total_doses_administered,121814
Total_people_one_dose,68556
Total_people_complete,60028
Total_doses_ordered,90250
total_pouluation,130808
Male-65 years and older,10776
Male-55-64 years,5200
Male-45-54 years,3827
Male-20-44 years,9841
Male-Less than 20 years,2715
Female-65 years and older,12751
Female-55-64 years,6285
Female-45-54 years,4384
Female-20-44 years,9890
Female-Less than 20 years,2795
"American Indian or Alaska Native, non-Hispanic",322
"Black or African American, non-Hispanic",1283
"Asian or Pacific Islander, non-Hispanic",1315
Unknown,9207
Other Race,10437
Hispanic or Latino,16659
"White, non-Hispanic",29333
