Category,Gila
Total_doses_administered,53271
Total_people_one_dose,29472
Total_people_complete,25971
Total_doses_ordered,37330
total_pouluation,55159
Male-65 years and older,5917
Male-55-64 years,2657
Male-45-54 years,1637
Male-20-44 years,3231
Male-Less than 20 years,763
Female-65 years and older,6271
Female-55-64 years,2952
Female-45-54 years,1728
Female-20-44 years,3353
Female-Less than 20 years,901
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1348
Other Race,4893
Unknown,5460
"American Indian or Alaska Native, non-Hispanic",5934
"White, non-Hispanic",11477
