Category,Navajo
Total_doses_administered,77472
Total_people_one_dose,43690
Total_people_complete,37040
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6973
Male-55-64 years,3614
Male-45-54 years,2551
Male-20-44 years,5384
Male-Less than 20 years,3077
Female-65 years and older,7647
Female-55-64 years,3876
Female-45-54 years,2574
Female-20-44 years,4760
Female-Less than 20 years,3200
"Black or African American, non-Hispanic",225
"Asian or Pacific Islander, non-Hispanic",419
Unknown,2214
Hispanic or Latino,2268
Other Race,8358
"White, non-Hispanic",14638
"American Indian or Alaska Native, non-Hispanic",15568
