Category,Maricopa
Total_doses_administered,3087578
Total_people_one_dose,1766350
Total_people_complete,1517422
Total_doses_ordered,1616078
total_pouluation,4367835
Male-65 years and older,182646
Male-55-64 years,128545
Male-45-54 years,128051
Male-20-44 years,298217
Male-Less than 20 years,82479
Female-65 years and older,236506
Female-55-64 years,148058
Female-45-54 years,141901
Female-20-44 years,323335
Female-Less than 20 years,84801
"American Indian or Alaska Native, non-Hispanic",37268
"Black or African American, non-Hispanic",68292
"Asian or Pacific Islander, non-Hispanic",82047
Unknown,173607
Other Race,271098
Hispanic or Latino,323991
"White, non-Hispanic",810047
