Category,Yavapai
Total_doses_administered,191671
Total_people_one_dose,110015
Total_people_complete,91928
Total_doses_ordered,169790
total_pouluation,232386
Male-65 years and older,24101
Male-55-64 years,8595
Male-45-54 years,5014
Male-20-44 years,9790
Male-Less than 20 years,2062
Female-65 years and older,30080
Female-55-64 years,10986
Female-45-54 years,5852
Female-20-44 years,9933
Female-Less than 20 years,2290
"Black or African American, non-Hispanic",592
"American Indian or Alaska Native, non-Hispanic",1104
"Asian or Pacific Islander, non-Hispanic",1436
Hispanic or Latino,6947
Other Race,16861
Unknown,27511
"White, non-Hispanic",55564
