Category,Mohave
Total_doses_administered,157274
Total_people_one_dose,90531
Total_people_complete,74574
Total_doses_ordered,129340
total_pouluation,216985
Male-65 years and older,21695
Male-55-64 years,8526
Male-45-54 years,4407
Male-20-44 years,7356
Male-Less than 20 years,1320
Female-65 years and older,24206
Female-55-64 years,9915
Female-45-54 years,4665
Female-20-44 years,6850
Female-Less than 20 years,1433
"Black or African American, non-Hispanic",627
"American Indian or Alaska Native, non-Hispanic",936
"Asian or Pacific Islander, non-Hispanic",1306
Hispanic or Latino,6466
Unknown,15245
Other Race,16043
"White, non-Hispanic",49908
