Category,Greenlee
Total_doses_administered,8221
Total_people_one_dose,4124
Total_people_complete,3654
total_pouluation,4124
Male-65 years and older,500
Male-55-64 years,372
Male-45-54 years,315
Male-20-44 years,765
Male-Less than 20 years,147
Female-65 years and older,503
Female-55-64 years,316
Female-45-54 years,318
Female-20-44 years,730
Female-Less than 20 years,156
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",43
"American Indian or Alaska Native, non-Hispanic",105
Other Race,113
Unknown,311
"White, non-Hispanic",1669
Hispanic or Latino,1842
