Category,Yavapai
Total_doses_administered,216894
Total_people_one_dose,111553
Total_people_complete,95546
total_pouluation,111553
Male-65 years and older,24742
Male-55-64 years,8837
Male-45-54 years,4831
Male-20-44 years,9717
Male-Less than 20 years,2264
Female-65 years and older,30545
Female-55-64 years,11241
Female-45-54 years,5764
Female-20-44 years,9884
Female-Less than 20 years,2580
"Black or African American, non-Hispanic",495
"American Indian or Alaska Native, non-Hispanic",1260
"Asian or Pacific Islander, non-Hispanic",1277
Hispanic or Latino,7449
Other Race,17358
Unknown,23808
"White, non-Hispanic",59906
