Category,Apache
Total_doses_administered,40802
Total_people_one_dose,22164
Total_people_complete,16917
total_pouluation,22164
Male-65 years and older,2349
Male-55-64 years,1616
Male-45-54 years,1233
Male-20-44 years,2901
Male-Less than 20 years,2723
Female-65 years and older,2789
Female-55-64 years,1751
Female-45-54 years,1256
Female-20-44 years,2732
Female-Less than 20 years,2806
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",112
Hispanic or Latino,500
Other Race,1248
Unknown,1509
"White, non-Hispanic",3292
"American Indian or Alaska Native, non-Hispanic",15455
