Category,Cochise
Total_doses_administered,140728
Total_people_one_dose,73321
Total_people_complete,64574
total_pouluation,73321
Male-65 years and older,10703
Male-55-64 years,5202
Male-45-54 years,4043
Male-20-44 years,10939
Male-Less than 20 years,3612
Female-65 years and older,12679
Female-55-64 years,6245
Female-45-54 years,4543
Female-20-44 years,11452
Female-Less than 20 years,3805
"American Indian or Alaska Native, non-Hispanic",319
"Asian or Pacific Islander, non-Hispanic",1355
"Black or African American, non-Hispanic",1401
Unknown,9608
Other Race,11588
Hispanic or Latino,18752
"White, non-Hispanic",30298
