Category,Graham
Total_doses_administered,39379
Total_people_one_dose,19907
Total_people_complete,18022
total_pouluation,19907
Male-65 years and older,2344
Male-55-64 years,1549
Male-45-54 years,1402
Male-20-44 years,3447
Male-Less than 20 years,860
Female-65 years and older,2834
Female-55-64 years,1689
Female-45-54 years,1364
Female-20-44 years,3444
Female-Less than 20 years,962
"Black or African American, non-Hispanic",83
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1507
Hispanic or Latino,3502
Unknown,4199
"American Indian or Alaska Native, non-Hispanic",4771
"White, non-Hispanic",5756
