Category,Navajo
Total_doses_administered,86797
Total_people_one_dose,44687
Total_people_complete,38660
total_pouluation,44687
Male-65 years and older,7022
Male-55-64 years,3414
Male-45-54 years,2524
Male-20-44 years,5408
Male-Less than 20 years,3258
Female-65 years and older,7922
Female-55-64 years,3919
Female-45-54 years,2522
Female-20-44 years,5248
Female-Less than 20 years,3415
"Black or African American, non-Hispanic",189
"Asian or Pacific Islander, non-Hispanic",359
Hispanic or Latino,2289
Unknown,2698
Other Race,7652
"White, non-Hispanic",14125
"American Indian or Alaska Native, non-Hispanic",17375
