Category,Coconino
Total_doses_administered,178114
Total_people_one_dose,88276
Total_people_complete,79965
total_pouluation,88276
Male-65 years and older,9107
Male-55-64 years,6138
Male-45-54 years,5604
Male-20-44 years,16472
Male-Less than 20 years,4317
Female-65 years and older,10294
Female-55-64 years,6954
Female-45-54 years,5722
Female-20-44 years,18774
Female-Less than 20 years,4635
"Black or African American, non-Hispanic",682
"Asian or Pacific Islander, non-Hispanic",1441
Hispanic or Latino,6433
Other Race,10246
Unknown,14987
"American Indian or Alaska Native, non-Hispanic",19310
"White, non-Hispanic",35177
