Category,Maricopa
Total_doses_administered,5015405
Total_people_one_dose,2500540
Total_people_complete,2250833
total_pouluation,2500540
Male-65 years and older,277662
Male-55-64 years,183019
Male-45-54 years,177122
Male-20-44 years,420676
Male-Less than 20 years,112978
Female-65 years and older,347568
Female-55-64 years,206444
Female-45-54 years,192721
Female-20-44 years,450921
Female-Less than 20 years,117005
"American Indian or Alaska Native, non-Hispanic",46149
"Black or African American, non-Hispanic",91271
"Asian or Pacific Islander, non-Hispanic",119073
Unknown,194525
Hispanic or Latino,406457
Other Race,447570
"White, non-Hispanic",1195495
