Category,Yavapai
Total_doses_administered,154727
Total_people_one_dose,90650
Total_people_complete,70245
Total_doses_ordered,161200
total_pouluation,232386
Male-65 years and older,21893
Male-55-64 years,7090
Male-45-54 years,3667
Male-20-44 years,6707
Male-Less than 20 years,802
Female-65 years and older,27320
Female-55-64 years,9379
Female-45-54 years,4547
Female-20-44 years,7129
Female-Less than 20 years,793
"Black or African American, non-Hispanic",0.0039602868174297
"American Indian or Alaska Native, non-Hispanic",0.0089354660783232
"Asian or Pacific Islander, non-Hispanic",0.0117374517374517
Hispanic or Latino,0.0482735797021511
Other Race,0.1489134031991175
Unknown,0.2933480419194705
"White, non-Hispanic",0.4848317705460564
