,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5017395,1444035,15868,85275,120649,39972,15632,7898,14877,1843463,107946,43232,680719,211036,44128,154727,140068
Total_people_one_dose,2925915,811926,9121,50828,67036,23025,9117,4510,8454,1124128,66057,25740,399423,126732,26721,90650,82447
Total_people_complete,2272501,,,,,,,,,,,,,,,,
Total_doses_ordered,4643380,,,,,,,,,,,,,,,,
65 years and older,576034,,,,,,,,,,,,,,,,
55-64 years,289860,,,,,,,,,,,,,,,,
45-54 years,214371,,,,,,,,,,,,,,,,
20-44 years,450175,,,,,,,,,,,,,,,,
Less than 20 years,50360,,,,,,,,,,,,,,,,
65 years and older,90650,,,,,,,,,,,,,,,,
55-64 years,241518,,,,,,,,,,,,,,,,
45-54 years,186076,,,,,,,,,,,,,,,,
20-44 years,401824,,,,,,,,,,,,,,,,
Less than 20 years,43270,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",65709,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",69063,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",107716,,,,,,,,,,,,,,,,
Hispanic or Latino,375286,,,,,,,,,,,,,,,,
Unknown,398231,,,,,,,,,,,,,,,,
Other Race,499634,,,,,,,,,,,,,,,,
"White, non-Hispanic",1410276,,,,,,,,,,,,,,,,
