Category,Yuma
Total_doses_administered,140068
Total_people_one_dose,82447
Total_people_complete,61712
Total_doses_ordered,118430
total_pouluation,229957
Male-65 years and older,14088
Male-55-64 years,6788
Male-45-54 years,5475
Male-20-44 years,13785
Male-Less than 20 years,726
Female-65 years and older,16039
Female-55-64 years,7378
Female-45-54 years,5690
Female-20-44 years,11400
Female-Less than 20 years,860
"American Indian or Alaska Native, non-Hispanic",0.0031656700668308
"Black or African American, non-Hispanic",0.0034446371608427
"Asian or Pacific Islander, non-Hispanic",0.0050335366963019
Other Race,0.0763156937183888
"White, non-Hispanic",0.1714313437723629
Unknown,0.3666840515725254
Hispanic or Latino,0.3739250670127476
