,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1817818,428924,8421,28635,52362,16828,6368,4856,5310,716406,30792,21098,268655,76152,13509,64459,43109
Total_people_one_dose,1226443,301764,5581,20018,37492,12773,4214,3227,4180,477650,21595,14874,181214,52451,9188,49001,31221
Total_people_complete,590018,142428,,,,,,,,,,,,,,,
Total_doses_ordered,1888380,517357,,,,,,,,,,,,,,,
65 years and older,371508,107598,,,,,,,,,,,,,,,
55-64 years,88003,16651,,,,,,,,,,,,,,,
45-54 years,79286,13601,,,,,,,,,,,,,,,
20-44 years,167374,28442,,,,,,,,,,,,,,,
Less than 20 years,5784,1035,,,,,,,,,,,,,,,
65 years and older,300923,93063,,,,,,,,,,,,,,,
55-64 years,55418,10910,,,,,,,,,,,,,,,
45-54 years,50941,9763,,,,,,,,,,,,,,,
20-44 years,100524,18802,,,,,,,,,,,,,,,
Less than 20 years,3601,630,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2810,581,,,,,,,,,,,,,,,
Black or African American,19231,1414,,,,,,,,,,,,,,,
Asian,27851,4274,,,,,,,,,,,,,,,
American Indian or Alaska Native,36481,7728,,,,,,,,,,,,,,,
Hispanic or Latino,100889,11987,,,,,,,,,,,,,,,
Other Race/Unknown,436874,90707,,,,,,,,,,,,,,,
White,603785,185169,,,,,,,,,,,,,,,
