Category,Coconino
Total_doses_administered,144300
Total_people_one_dose,78547
Total_people_complete,71696
Total_doses_ordered,95930
total_pouluation,147275
Male-65 years and older,7480
Male-55-64 years,5829
Male-45-54 years,5158
Male-20-44 years,15489
Male-Less than 20 years,2587
Female-65 years and older,8572
Female-55-64 years,6577
Female-45-54 years,5381
Female-20-44 years,18029
Female-Less than 20 years,3370
"Black or African American, non-Hispanic",550
"Asian or Pacific Islander, non-Hispanic",1162
Hispanic or Latino,5233
Other Race,9160
"American Indian or Alaska Native, non-Hispanic",16141
Unknown,16521
"White, non-Hispanic",29780
