Category,Navajo
Total_doses_administered,61989
Total_people_one_dose,34597
Total_people_complete,30305
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6125
Male-55-64 years,2793
Male-45-54 years,1912
Male-20-44 years,3881
Male-Less than 20 years,2453
Female-65 years and older,6592
Female-55-64 years,3085
Female-45-54 years,1950
Female-20-44 years,3215
Female-Less than 20 years,2559
"Black or African American, non-Hispanic",194
"Asian or Pacific Islander, non-Hispanic",353
Unknown,1819
Hispanic or Latino,1951
Other Race,7524
"American Indian or Alaska Native, non-Hispanic",9501
"White, non-Hispanic",13255
