Category,Mohave
Total_doses_administered,146569
Total_people_one_dose,83581
Total_people_complete,70356
Total_doses_ordered,124750
total_pouluation,216985
Male-65 years and older,20787
Male-55-64 years,7911
Male-45-54 years,3922
Male-20-44 years,6372
Male-Less than 20 years,907
Female-65 years and older,23196
Female-55-64 years,9278
Female-45-54 years,4134
Female-20-44 years,5878
Female-Less than 20 years,1050
"Black or African American, non-Hispanic",558
"American Indian or Alaska Native, non-Hispanic",825
"Asian or Pacific Islander, non-Hispanic",1205
Hispanic or Latino,5474
Unknown,14366
Other Race,15256
"White, non-Hispanic",45897
