Category,Yavapai
Total_doses_administered,181675
Total_people_one_dose,103428
Total_people_complete,87982
Total_doses_ordered,165060
total_pouluation,232386
Male-65 years and older,23359
Male-55-64 years,8106
Male-45-54 years,4562
Male-20-44 years,8735
Male-Less than 20 years,1633
Female-65 years and older,29154
Female-55-64 years,10464
Female-45-54 years,5354
Female-20-44 years,8921
Female-Less than 20 years,1830
"Black or African American, non-Hispanic",496
"American Indian or Alaska Native, non-Hispanic",1022
"Asian or Pacific Islander, non-Hispanic",1341
Hispanic or Latino,6037
Other Race,15990
Unknown,26502
"White, non-Hispanic",52040
