Category,Cochise
Total_doses_administered,113667
Total_people_one_dose,63613
Total_people_complete,56681
Total_doses_ordered,87630
total_pouluation,130808
Male-65 years and older,10414
Male-55-64 years,5013
Male-45-54 years,3540
Male-20-44 years,8903
Male-Less than 20 years,2061
Female-65 years and older,12348
Female-55-64 years,6019
Female-45-54 years,4125
Female-20-44 years,8934
Female-Less than 20 years,2167
"American Indian or Alaska Native, non-Hispanic",306
"Black or African American, non-Hispanic",1172
"Asian or Pacific Islander, non-Hispanic",1243
Unknown,8322
Other Race,9874
Hispanic or Latino,14839
"White, non-Hispanic",27857
