Category,Apache
Total_doses_administered,22817
Total_people_one_dose,12768
Total_people_complete,11094
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1691
Male-55-64 years,888
Male-45-54 years,576
Male-20-44 years,1058
Male-Less than 20 years,2041
Female-65 years and older,1733
Female-55-64 years,1006
Female-45-54 years,624
Female-20-44 years,989
Female-Less than 20 years,2153
"Asian or Pacific Islander, non-Hispanic",147
"Black or African American, non-Hispanic",226
Unknown,933
Other Race,942
Hispanic or Latino,1478
"White, non-Hispanic",2931
"American Indian or Alaska Native, non-Hispanic",6111
