Category,Pinal
Total_doses_administered,292219
Total_people_one_dose,165294
Total_people_complete,148898
Total_doses_ordered,196665
total_pouluation,455210
Male-65 years and older,29200
Male-55-64 years,13013
Male-45-54 years,11644
Male-20-44 years,25495
Male-Less than 20 years,4176
Female-65 years and older,33536
Female-55-64 years,14014
Female-45-54 years,10468
Female-20-44 years,18785
Female-Less than 20 years,4373
"Asian or Pacific Islander, non-Hispanic",3040
"Black or African American, non-Hispanic",4419
"American Indian or Alaska Native, non-Hispanic",7851
Other Race,17765
Hispanic or Latino,25009
Unknown,33866
"White, non-Hispanic",73344
