Category,value
Hospitalizations,91523
Day,
Day_pct,
Apache,1226
Cochise,1144
Coconino,1898
Gila,1010
Graham,485
Greenlee,86
La Paz,354
Maricopa,57015
Mohave,3174
Navajo,2374
Pima,10147
Pinal,6078
Santa Cruz,670
Yavapai,3150
Yuma,2712
0_5,
Less than 20 years,3411
20-44 years,19450
45-54 years,12959
55-64 years,16911
65 years and older,38737
Male,48020
Female,43448
Missing,
"White, non-Hispanic",45283
Hispanic or Latino,27851
"American Indian or Alaska Native, non-Hispanic",6283
"Black or African American, non-Hispanic",4534
"Asian or Pacific Islander, non-Hispanic",1475
Other Race,3936
