Category,Yuma
Total_doses_administered,318212
Total_people_one_dose,159666
Total_people_complete,127770
total_pouluation,159666
Male-65 years and older,17036
Male-55-64 years,10647
Male-45-54 years,9301
Male-20-44 years,28374
Male-Less than 20 years,12633
Female-65 years and older,19614
Female-55-64 years,11374
Female-45-54 years,10226
Female-20-44 years,26745
Female-Less than 20 years,13103
"Black or African American, non-Hispanic",838
"American Indian or Alaska Native, non-Hispanic",1187
"Asian or Pacific Islander, non-Hispanic",1226
Other Race,19317
Unknown,29637
"White, non-Hispanic",35295
Hispanic or Latino,72166
