Category,Yavapai
Total_doses_administered,250428
Total_people_one_dose,118453
Total_people_complete,99507
total_pouluation,118453
Male-65 years and older,26145
Male-55-64 years,9280
Male-45-54 years,5112
Male-20-44 years,10336
Male-Less than 20 years,2994
Female-65 years and older,31804
Female-55-64 years,11690
Female-45-54 years,6075
Female-20-44 years,10593
Female-Less than 20 years,3275
"Black or African American, non-Hispanic",576
"American Indian or Alaska Native, non-Hispanic",1443
"Asian or Pacific Islander, non-Hispanic",1461
Hispanic or Latino,8255
Other Race,17393
Unknown,18750
"White, non-Hispanic",70575
