Category,Santa Cruz
Total_doses_administered,110665
Total_people_one_dose,57050
Total_people_complete,44522
total_pouluation,57050
Male-65 years and older,4765
Male-55-64 years,3301
Male-45-54 years,3465
Male-20-44 years,9160
Male-Less than 20 years,6585
Female-65 years and older,5767
Female-55-64 years,3629
Female-45-54 years,3766
Female-20-44 years,9596
Female-Less than 20 years,6931
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3546
Unknown,3911
"White, non-Hispanic",7645
Hispanic or Latino,41644
