Category,Apache
Total_doses_administered,62157
Total_people_one_dose,29755
Total_people_complete,22825
total_pouluation,29755
Male-65 years and older,2815
Male-55-64 years,2050
Male-45-54 years,1647
Male-20-44 years,3936
Male-Less than 20 years,4102
Female-65 years and older,3386
Female-55-64 years,2200
Female-45-54 years,1612
Female-20-44 years,3824
Female-Less than 20 years,4175
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,579
Unknown,1140
Other Race,1156
"White, non-Hispanic",3674
"American Indian or Alaska Native, non-Hispanic",23011
