Category,Navajo
Total_doses_administered,101360
Total_people_one_dose,49639
Total_people_complete,40735
total_pouluation,49639
Male-65 years and older,7390
Male-55-64 years,3595
Male-45-54 years,2739
Male-20-44 years,5871
Male-Less than 20 years,4460
Female-65 years and older,8317
Female-55-64 years,4128
Female-45-54 years,2736
Female-20-44 years,5772
Female-Less than 20 years,4594
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",365
Unknown,2369
Hispanic or Latino,2531
Other Race,6346
"White, non-Hispanic",16130
"American Indian or Alaska Native, non-Hispanic",21694
