Category,Mohave
Total_doses_administered,188048
Total_people_one_dose,91113
Total_people_complete,76744
total_pouluation,91113
Male-65 years and older,21186
Male-55-64 years,8317
Male-45-54 years,4331
Male-20-44 years,7610
Male-Less than 20 years,1855
Female-65 years and older,23270
Female-55-64 years,9656
Female-45-54 years,4872
Female-20-44 years,7788
Female-Less than 20 years,2048
"Black or African American, non-Hispanic",621
"American Indian or Alaska Native, non-Hispanic",749
"Asian or Pacific Islander, non-Hispanic",1390
Hispanic or Latino,7309
Unknown,11624
Other Race,14499
"White, non-Hispanic",54921
