Category,Maricopa
Total_doses_administered,5683343
Total_people_one_dose,2672824
Total_people_complete,2313373
total_pouluation,2672824
Male-65 years and older,287784
Male-55-64 years,190021
Male-45-54 years,184457
Male-20-44 years,442318
Male-Less than 20 years,152274
Female-65 years and older,359433
Female-55-64 years,213593
Female-45-54 years,199780
Female-20-44 years,473429
Female-Less than 20 years,155305
"American Indian or Alaska Native, non-Hispanic",52393
"Black or African American, non-Hispanic",103801
"Asian or Pacific Islander, non-Hispanic",135661
Unknown,180231
Other Race,430330
Hispanic or Latino,451831
"White, non-Hispanic",1318577
