Category,Coconino
Total_doses_administered,207966
Total_people_one_dose,95601
Total_people_complete,82102
total_pouluation,95601
Male-65 years and older,9481
Male-55-64 years,6402
Male-45-54 years,5860
Male-20-44 years,17331
Male-Less than 20 years,6293
Female-65 years and older,10675
Female-55-64 years,7172
Female-45-54 years,5903
Female-20-44 years,19707
Female-Less than 20 years,6507
"Black or African American, non-Hispanic",792
"Asian or Pacific Islander, non-Hispanic",1670
Hispanic or Latino,7286
Other Race,8726
Unknown,12572
"American Indian or Alaska Native, non-Hispanic",22886
"White, non-Hispanic",41669
