Category,La Paz
Total_doses_administered,18266
Total_people_one_dose,9056
Total_people_complete,7553
total_pouluation,9056
Male-65 years and older,2453
Male-55-64 years,623
Male-45-54 years,327
Male-20-44 years,687
Male-Less than 20 years,380
Female-65 years and older,2465
Female-55-64 years,745
Female-45-54 years,378
Female-20-44 years,603
Female-Less than 20 years,376
"Black or African American, non-Hispanic",40
"Asian or Pacific Islander, non-Hispanic",90
"American Indian or Alaska Native, non-Hispanic",544
Other Race,1189
Hispanic or Latino,1349
Unknown,1867
"White, non-Hispanic",3977
