Category,Graham
Total_doses_administered,44759
Total_people_one_dose,21371
Total_people_complete,18646
total_pouluation,21371
Male-65 years and older,2414
Male-55-64 years,1592
Male-45-54 years,1452
Male-20-44 years,3611
Male-Less than 20 years,1214
Female-65 years and older,2926
Female-55-64 years,1735
Female-45-54 years,1425
Female-20-44 years,3658
Female-Less than 20 years,1332
"Asian or Pacific Islander, non-Hispanic",85
"Black or African American, non-Hispanic",93
Other Race,1302
Hispanic or Latino,3861
Unknown,4140
"American Indian or Alaska Native, non-Hispanic",5373
"White, non-Hispanic",6517
