,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2016512,487522,9426,31809,58897,18450,7041,5440,6498,784114,35095,23045,293593,84662,15823,73195,49380
Total_people_one_dose,1312951,320620,5942,22314,41190,13746,4553,3422,4385,514728,23732,15749,191568,57434,10488,50263,32817
Total_people_complete,711074,185303,,,,,,,,,,,,,,,
Total_doses_ordered,1888380,517357,,,,,,,,,,,,,,,
65 years and older,399723,112379,,,,,,,,,,,,,,,
55-64 years,97280,19682,,,,,,,,,,,,,,,
45-54 years,82768,14353,,,,,,,,,,,,,,,
20-44 years,174085,30063,,,,,,,,,,,,,,,
Less than 20 years,6265,1128,,,,,,,,,,,,,,,
65 years and older,323387,96913,,,,,,,,,,,,,,,
55-64 years,63017,13481,,,,,,,,,,,,,,,
45-54 years,53633,10436,,,,,,,,,,,,,,,
20-44 years,105873,20215,,,,,,,,,,,,,,,
Less than 20 years,3965,686,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3002,632,,,,,,,,,,,,,,,
Black or African American,20523,1494,,,,,,,,,,,,,,,
Asian,29240,4498,,,,,,,,,,,,,,,
American Indian or Alaska Native,38195,8088,,,,,,,,,,,,,,,
Hispanic or Latino,110060,12941,,,,,,,,,,,,,,,
Other Race/Unknown,473781,99414,,,,,,,,,,,,,,,
White,638357,193562,,,,,,,,,,,,,,,
