Category,Navajo
Total_doses_administered,112671
Total_people_one_dose,52826
Total_people_complete,44419
total_pouluation,52826
Male-65 years and older,7603
Male-55-64 years,3754
Male-45-54 years,2870
Male-20-44 years,6352
Male-Less than 20 years,5113
Female-65 years and older,8559
Female-55-64 years,4250
Female-45-54 years,2889
Female-20-44 years,6202
Female-Less than 20 years,5196
"Black or African American, non-Hispanic",219
"Asian or Pacific Islander, non-Hispanic",393
Unknown,2511
Hispanic or Latino,2750
Other Race,6466
"White, non-Hispanic",16481
"American Indian or Alaska Native, non-Hispanic",24006
