Category,Greenlee
Total_doses_administered,10186
Total_people_one_dose,4499
Total_people_complete,4035
total_pouluation,4499
Male-65 years and older,519
Male-55-64 years,385
Male-45-54 years,337
Male-20-44 years,808
Male-Less than 20 years,242
Female-65 years and older,523
Female-55-64 years,317
Female-45-54 years,336
Female-20-44 years,778
Female-Less than 20 years,252
"Asian or Pacific Islander, non-Hispanic",50
"Black or African American, non-Hispanic",55
Other Race,98
"American Indian or Alaska Native, non-Hispanic",127
Unknown,302
"White, non-Hispanic",1829
Hispanic or Latino,2038
