Category,Apache
Total_doses_administered,70587
Total_people_one_dose,32421
Total_people_complete,26856
total_pouluation,32421
Male-65 years and older,2996
Male-55-64 years,2164
Male-45-54 years,1759
Male-20-44 years,4324
Male-Less than 20 years,4595
Female-65 years and older,3592
Female-55-64 years,2360
Female-45-54 years,1758
Female-20-44 years,4163
Female-Less than 20 years,4699
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",142
Hispanic or Latino,628
Unknown,1194
Other Race,1223
"White, non-Hispanic",3843
"American Indian or Alaska Native, non-Hispanic",25329
